python -m bbcprc.report_durations
Total number of files 16014
Error count 0
Successful files 16014
Total length 20 days, 0:58:00.803605 76358303439
Average length 0:01:48.122943 4768221.770887973
Min length 0:00:01.573333 69384
Max length 0:26:49.400000 70974540
Average rms 3029.782418405867
Min rms 63.48201883802484
Max rms 22215.433447020263

00496 07014169.wav 0:00:05.400000 238140
00497 07018033.wav 0:00:05.400000 238140
00498 07047217.wav 0:00:05.402494 238250
00499 07023317.wav 0:00:05.403741 238305
00500 07026057.wav 0:00:05.404082 238320
00501 07045181.wav 0:00:05.413333 238728
00502 07005074.wav 0:00:05.414943 238799
00503 07011038.wav 0:00:05.420000 239022
00504 07043195.wav 0:00:05.426667 239316
00505 07055152.wav 0:00:05.426667 239316
00506 07022384.wav 0:00:05.426735 239319
00507 07005177.wav 0:00:05.436508 239750
00508 07011064.wav 0:00:05.440000 239904
00509 07041026.wav 0:00:05.440000 239904
00510 07058170.wav 0:00:05.440000 239904
00511 07008193.wav 0:00:05.441655 239977
00512 07047183.wav 0:00:05.442494 240014
00513 07022497.wav 0:00:05.449070 240304
00514 07028057.wav 0:00:05.451882 240428
00515 07045197.wav 0:00:05.453333 240492
00516 07004325.wav 0:00:05.458095 240702
00517 07022393.wav 0:00:05.459410 240760
00518 07043094.wav 0:00:05.460000 240786
00519 07022396.wav 0:00:05.465533 241030
00520 07023260.wav 0:00:05.476372 241508
00521 07022417.wav 0:00:05.477098 241540
00522 07023318.wav 0:00:05.478186 241588
00523 07022273.wav 0:00:05.478254 241591
00524 07011055.wav 0:00:05.480000 241668
00525 07013136.wav 0:00:05.480000 241668
00526 07014196.wav 0:00:05.480000 241668
00527 07027074.wav 0:00:05.482177 241764
00528 07043098.wav 0:00:05.486667 241962
00529 07026157.wav 0:00:05.491066 242156
00530 07023332.wav 0:00:05.492154 242204
00531 07011005.wav 0:00:05.500000 242550
00532 07045189.wav 0:00:05.506667 242844
00533 07011067.wav 0:00:05.520000 243432
00534 07045229.wav 0:00:05.520000 243432
00535 07070110.wav 0:00:05.520000 243432
00536 07037564.wav 0:00:05.520227 243442
00537 07022505.wav 0:00:05.536145 244144
00538 07011054.wav 0:00:05.536667 244167
00539 07045220.wav 0:00:05.546667 244608
00540 07045230.wav 0:00:05.546667 244608
00541 07070101.wav 0:00:05.546667 244608
00542 07004295.wav 0:00:05.554422 244950
00543 07022394.wav 0:00:05.557188 245072
00544 07047089.wav 0:00:05.557370 245080
00545 07022498.wav 0:00:05.567166 245512
00546 07023256.wav 0:00:05.571542 245705
00547 07042215.wav 0:00:05.573333 245784
00548 07045226.wav 0:00:05.573333 245784
00549 07045321.wav 0:00:05.573333 245784
00550 07070104.wav 0:00:05.573333 245784
00551 07022306.wav 0:00:05.584172 246262
00552 07045192.wav 0:00:05.586667 246372
00553 07070108.wav 0:00:05.586667 246372
00554 07005042.wav 0:00:05.596825 246820
00555 07047167.wav 0:00:05.602494 247070
00556 07042152.wav 0:00:05.613333 247548
00557 07045193.wav 0:00:05.613333 247548
00558 07045232.wav 0:00:05.613333 247548
00559 07045325.wav 0:00:05.613333 247548
00560 07043261.wav 0:00:05.620000 247842
00561 07074120.wav 0:00:05.626667 248136
00562 07038130.wav 0:00:05.627755 248184
00563 07037344.wav 0:00:05.627800 248186
00564 07038319.wav 0:00:05.628299 248208
00565 07023369.wav 0:00:05.629002 248239
00566 07022194.wav 0:00:05.630000 248283
00567 07038230.wav 0:00:05.631383 248344
00568 07004226.wav 0:00:05.640000 248724
00569 07022193.wav 0:00:05.640000 248724
00570 07037538.wav 0:00:05.640000 248724
00571 07022443.wav 0:00:05.641020 248769
00572 07023100.wav 0:00:05.651519 249232
00573 07055164.wav 0:00:05.653333 249312
00574 07055190.wav 0:00:05.653333 249312
00575 07023355.wav 0:00:05.672449 250155
00576 07004312.wav 0:00:05.673469 250200
00577 07022471.wav 0:00:05.678912 250440
00578 07004326.wav 0:00:05.678957 250442
00579 07045203.wav 0:00:05.680000 250488
00580 07022305.wav 0:00:05.683129 250626
00581 07037280.wav 0:00:05.683900 250660
00582 07030106.wav 0:00:05.687574 250822
00583 07072038.wav 0:00:05.693333 251076
00584 07037542.wav 0:00:05.696689 251224
00585 07011361.wav 0:00:05.700000 251370
00586 07057078.wav 0:00:05.706667 251664
00587 07037543.wav 0:00:05.720000 252252
00588 07014171.wav 0:00:05.740000 253134
00589 07016277.wav 0:00:05.740000 253134
00590 07038320.wav 0:00:05.740000 253134
00591 07022492.wav 0:00:05.745125 253360
00592 07045228.wav 0:00:05.746667 253428
00593 07011069.wav 0:00:05.760000 254016
00594 07014150.wav 0:00:05.760000 254016
00595 07001099.wav 0:00:05.761361 254076
00596 07022366.wav 0:00:05.762109 254109
00597 07022258.wav 0:00:05.773288 254602
00598 07045139.wav 0:00:05.773333 254604
00599 07045235.wav 0:00:05.773333 254604
00600 07045237.wav 0:00:05.773333 254604
00601 07018027.wav 0:00:05.780816 254934
00602 07055165.wav 0:00:05.786667 255192
00603 07005154.wav 0:00:05.787846 255244
00604 07037545.wav 0:00:05.800000 255780
00605 07071002.wav 0:00:05.800000 255780
00606 07004261.wav 0:00:05.802041 255870
00607 07026150.wav 0:00:05.808435 256152
00608 07028086.wav 0:00:05.809161 256184
00609 07055187.wav 0:00:05.813333 256368
